rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
4443,47a64f92-b064-44e8-ad8f-9763606f68a4,Shaross invest GmbH,Private,1,7999.8048,Office,Berlin,Office,Berlin,Berlin,,2015-03-10 00:00:00
4444,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Lars Windhorst,Private,1,199995.12,Apartment,Hanover,Apartment,Hanover,Lower Saxony,,2019-03-28 00:00:00
4445,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Konrad Kloster & Maik Tauchert,Private,1,10999.7316,Dev Site,Braunschweig,Dev Site,Braunschweig,Lower Saxony,,2013-02-12 00:00:00
4446,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Bocks Sportswear,User/Other,1,649.98414,Retail,Schweinfurt,Retail,Schweinfurt,Bavaria,,2013-07-02 00:00:00
4447,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Spedition Lange & Tochter GmbH,User/Other,1,27499.329,Dev Site,Brandenburg an der Havel,Dev Site,Brandenburg an der Havel,Brandenburg,,2018-12-15 00:00:00
4448,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Dritte Caurus Grundstücksgesellschaft,Private,1,21499.4754,Industrial,Dresden,Industrial,Dresden,Saxony,,2015-03-24 00:00:00
4449,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Frank Pentzin,Private,1,3860.9057916,Office,Hamburg,Office,Hamburg,Hamburg,,2016-06-03 00:00:00
4450,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Heiko Fuhlendorf,Private,1,3860.9057916,Office,Hamburg,Office,Hamburg,Hamburg,,2016-06-03 00:00:00
4451,4c48b00f-c8f6-419c-a5d2-da2b723242e8,GbR Sportallee 54a+b A. M. & K,Private,1,7699.81212,Office,Hamburg,Office,Hamburg,Hamburg,,2016-10-12 00:00:00
4452,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Unruh-Deerberg Immobiliengesellschaft,Private,1,9999.756,Dev Site,Ebersbach-Neugersdorf,Dev Site,Ebersbach-Neugersdorf,Saxony,,2020-03-31 00:00:00
4453,e702494d-1ab9-4b84-a4f0-28e406d1166e,City of Puchheim,User/Other,1,,Apartment,Puchheim,Apartment,Puchheim,Bavaria,,2014-07-31 00:00:00
4454,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Vier Quartier GmbH & Co. KG,Private,1,28999.2924,Dev Site,Bremen,Dev Site,Bremen,Bremen,,2020-01-15 00:00:00
4455,9f7b0e73-f491-4959-8e96-bde253aa636f,Gebr. Rausch HAUSBAU GmbH & Co. KG,Private,1,28999.2924,Dev Site,Bremen,Dev Site,Bremen,Bremen,,2020-01-15 00:00:00
4456,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Sachs Real Estate,Private,1,,Hotel,Kaiserslautern,Hotel,Kaiserslautern,Rhineland-Palatinate,,2017-04-26 00:00:00
4457,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Mitteldeutsche Rundfunk MDR,User/Other,1,14999.634,Office,Magdeburg,Office,Magdeburg,Saxony-Anhalt,,2018-06-25 00:00:00
4458,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Casa Sogno,Private,1,3199.92192,Dev Site,Dortmund,Dev Site,Dortmund,North Rhine-Westphalia,,2022-03-01 00:00:00
4459,bd5657ae-402e-4677-a035-dc18a547bcae,Dr Kurt & Ilse Nolke Stiftung,User/Other,1,14999.634,Dev Site,Gluckstadt,Dev Site,Gluckstadt,Schleswig-Holstein,,2015-10-06 00:00:00
4460,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Archy Nova,Private,1,5999.8536,Dev Site,Stuttgart,Dev Site,Stuttgart,Baden-Wurttemberg,,2012-12-31 00:00:00
4461,2cfacd5b-ce8f-4766-8c5f-693f4606305a,WohnWert Koln GmbH,Private,1,761.9814072,Apartment,Cologne,Apartment,Cologne,North Rhine-Westphalia,,2010-10-14 00:00:00
4462,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,akquinet AG,User/Other,1,10759.737456,Dev Site,Hamburg,Dev Site,Hamburg,Hamburg,,2020-11-30 00:00:00
4463,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Becker Immobilien GmbH,Private,1,2999.9268,Apartment,Bielefeld,Apartment,Bielefeld,North Rhine-Westphalia,,2011-06-01 00:00:00
4464,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Hasenkamp Group,User/Other,1,,Industrial,Morfelden-Walldorf,Industrial,Morfelden-Walldorf,Hesse,,2024-05-01 00:00:00
4465,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Multibox Management,User/Other,1,3799.90728,Dev Site,Darmstadt,Dev Site,Darmstadt,Hesse,,2020-05-27 00:00:00
4466,4c48b00f-c8f6-419c-a5d2-da2b723242e8,List & Nieklauson GmbH,Private,1,,Hotel,Jena,Hotel,Jena,Thuringia,,2012-01-01 00:00:00
4467,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Wohnartplus GmbH,Private,1,,Hotel,Dresden,Hotel,Dresden,Saxony,,2024-02-15 00:00:00
4468,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Customcells Holding GmbH,Private,1,28150.3131156,Dev Site,Reutlingen,Dev Site,Reutlingen,Baden-Wurttemberg,,2021-12-17 00:00:00
4469,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Das Schauwerk GmbH,Private,1,2499.939,Industrial,Freiberg am Neckar,Industrial,Freiberg am Neckar,Baden-Wurttemberg,,2014-04-02 00:00:00
4470,4c48b00f-c8f6-419c-a5d2-da2b723242e8,SBI GmbH,Private,1,499.9878,Dev Site,Nuremberg,Dev Site,Nuremberg,Bavaria,,2016-03-31 00:00:00
4471,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,GTM,User/Other,1,49998.78,Dev Site,Barleben,Dev Site,Barleben,Saxony-Anhalt,,2008-11-15 00:00:00
4472,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Crowd & Care Invest AG,Private,1,,Seniors Housing & Care,Wietze,Seniors Housing & Care,Wietze,Lower Saxony,,2021-06-14 00:00:00
4473,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,City of Kirchheim unter Teck,User/Other,1,34998.8546656,Dev Site,Kirchheim unter Teck,Dev Site,Kirchheim unter Teck,Baden-Wurttemberg,,2015-03-13 00:00:00
4474,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Reha Parcs Dusselaue,User/Other,1,10899.73404,Office,Erkrath,Office,Erkrath,North Rhine-Westphalia,,2010-09-30 00:00:00
4475,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Envia Mitteldeutsche Energie AG,User/Other,1,4699.88532,Office,Naumburg (Saale),Office,Naumburg (Saale),Saxony-Anhalt,,2020-10-08 00:00:00
4476,9fbd55b8-69ba-46e8-9dab-897c3256b045,B Logistik GmbH,User/Other,1,27999.3168,Dev Site,Beckum,Dev Site,Beckum,North Rhine-Westphalia,,2015-12-22 00:00:00
4477,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,STI Security Training International GmbH,User/Other,1,6280.2258,Office,Florsheim am Main,Office,Florsheim am Main,Hesse,,2019-04-18 00:00:00
4478,4c48b00f-c8f6-419c-a5d2-da2b723242e8,DG Steinplatz 4 GmbH,Private,1,,Hotel,Berlin,Hotel,Berlin,Berlin,,2011-07-15 00:00:00
4479,d074f52b-915b-4266-9535-33544e06853f,Hapimag AG,Private,1,2699.93412,Office,Hamburg,Office,Hamburg,Hamburg,,2012-12-31 00:00:00
4480,2c9257d0-1a9d-4b64-bfc9-8404879a46cf,Stadtsparkasse Oberhausen,Institutional,1,87997.8528,Dev Site,Oberhausen,Dev Site,Oberhausen,North Rhine-Westphalia,,2024-03-12 00:00:00
4481,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Matthai Bauunternehmen,Private,1,4519.889712,Industrial,Westerstede,Industrial,Westerstede,Lower Saxony,,2022-04-03 00:00:00
4482,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Slaney Foods,User/Other,1,10499.7438,Office,Ludenscheid,Office,Ludenscheid,North Rhine-Westphalia,,2008-08-31 00:00:00
4483,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,City of Donauworth,User/Other,1,299992.68,Dev Site,Donauworth,Dev Site,Donauworth,Bavaria,,2016-08-04 00:00:00
4484,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Cycot Gmbh,User/Other,1,3399.91704,Office,Augsburg,Office,Augsburg,Bavaria,,2017-08-14 00:00:00
4485,e59a7b6e-f15d-483d-8afd-dfb86d7af513,TFM Wohnbau,Private,1,11699.71452,Dev Site,Augsburg,Apartment; Dev Site,Augsburg,Bavaria,,2013-12-31 00:00:00
4486,bd5657ae-402e-4677-a035-dc18a547bcae,Diakonie Deutschland Evangelischer Bundesverband,User/Other,1,1146.9720132,Office,Lengerich,Office,Lengerich,North Rhine-Westphalia,,2015-11-11 00:00:00
4487,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Argos Deutschland GmbH,User/Other,1,11364.6281112006,Industrial,Neuss,Industrial,Neuss,North Rhine-Westphalia,,2007-10-15 00:00:00
4488,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Wandscher Gruppe,User/Other,1,1799.95608,Other General,Bremen,Other General,Bremen,Bremen,,2021-06-30 00:00:00
4489,64e27310-bb37-4bf9-88f6-7ec3292ffcf8,Uni Apart,Private,1,5799.85848,Dev Site,Neu-Ulm,Dev Site,Neu-Ulm,Bavaria,,2020-02-13 00:00:00
