rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
1222,4c48b00f-c8f6-419c-a5d2-da2b723242e8,prop Projekte Partner GmbH,Private,1,2899.92924,Seniors Housing & Care,Sonnefeld,Seniors Housing & Care,Sonnefeld,Bavaria,,2025-05-27 00:00:00
1223,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,MedCareProfessional GmbH,User/Other,1,3999.9024,Dev Site,Hattingen,Dev Site,Hattingen,North Rhine-Westphalia,,2026-01-25 00:00:00
1224,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Vetter Pharma-Fertigung GmbH & Co. KG,User/Other,1,399986.910464,Dev Site,Saarlouis,Dev Site,Saarlouis,Saarland,,2024-12-21 00:00:00
1225,89466d0e-d688-47aa-aed8-150a231eb1dc,gwSaar Gesellschaft für Wirtschaftsförderung Saar,User/Other,1,,Industrial,Saarlouis,Dev Site; Industrial,Saarlouis,Saarland,,2024-12-21 00:00:00
1226,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Piccolonia Bus-Reisen Klein KG,User/Other,1,9999.756,Dev Site,Cologne,Dev Site,Cologne,North Rhine-Westphalia,,2025-06-04 00:00:00
1227,4c48b00f-c8f6-419c-a5d2-da2b723242e8,EasySpace24 Development GmbH,Private,1,,Office,Meissen,Office,Meissen,Saxony,,2025-11-15 00:00:00
1228,eaf4bf3d-c951-4ad1-b40f-9ac89e8e102a,City of Schwerte,User/Other,1,,Industrial,Schwerte an der Ruhr,Industrial,Schwerte an der Ruhr,North Rhine-Westphalia,,2025-01-30 00:00:00
1229,4c48b00f-c8f6-419c-a5d2-da2b723242e8,HGS Projekt 4,Private,1,,Seniors Housing & Care,Enger,Seniors Housing & Care,Enger,North Rhine-Westphalia,,2026-02-19 00:00:00
1230,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Glinicke-Gruppe,User/Other,1,31999.2192,Retail,Erfurt,Retail,Erfurt,Thuringia,,2025-12-01 00:00:00
1231,f3adb8d0-233b-4a99-a3d4-ab368eeaca6a,Irish Life Assurance,Institutional,1,21559.473936,Industrial,Nettetal,Industrial,Nettetal,North Rhine-Westphalia,Irish Life Investment Managers,2025-01-01 00:00:00
1232,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Ovag,User/Other,1,11554.718058,Dev Site,Rosbach vor der Hohe,Dev Site,Rosbach vor der Hohe,Hesse,,2026-02-26 00:00:00
1233,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Meinhardt Gruppe,Private,1,5399.86824,Industrial,Hofheim am Taunus,Industrial,Hofheim am Taunus,Hesse,,2025-01-22 00:00:00
1234,4c48b00f-c8f6-419c-a5d2-da2b723242e8,K&P Wohnbau GmbH,Private,1,1599.96096,Dev Site,Ostfildern,Dev Site,Ostfildern,Baden-Wurttemberg,,2024-09-01 00:00:00
1235,6ade36a2-eea1-4ba1-ae8f-0a03e0e5ed79,DPD,User/Other,1,6003.8535024,Industrial,Mannheim,Industrial,Krostitz; Worms; Mannheim,Saxony; Rhineland-Palatinate; Baden-Wurttemberg,,2025-07-02 00:00:00
1236,0e6adae0-b6a0-4105-b42f-245c967ebcad,Wolff & Muller,Private,1,6499.8414,Office,Freiburg im Breisgau,Office; Apartment,Freiburg im Breisgau; Wolfsburg,Baden-Wurttemberg; Lower Saxony,,2025-11-17 00:00:00
1237,b3925cf1-8022-4235-81e1-75d67e94d367,Wobau OH,Private,1,53378.697528,Apartment,,Dev Site; Apartment,Magdeburg,Saxony-Anhalt; Schleswig-Holstein,,2024-12-03 00:00:00
1238,bd5657ae-402e-4677-a035-dc18a547bcae,Seehaus e.V.,User/Other,1,599.98536,Retail,Leonberg,Retail,Leonberg,Baden-Wurttemberg,,2025-06-05 00:00:00
